Metric,roman-empire,amazon-ratings,minesweeper,tolokers,questions,squirrel,squirrel-directed,squirrel-filtered,squirrel-filtered-directed,chameleon,chameleon-directed,chameleon-filtered,chameleon-filtered-directed,actor,texas,texas-4-classes,cornell,wisconsin
edges,65854,186100,78804,1038000,307080,396706,217073,93996,65718,62742,36101,17708,13584,53318,558,558,554,900
nodes,22662,24492,10000,11758,48921,5201,5201,2223,2223,2277,2277,890,890,7600,183,183,183,251
classes,18,5,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5
avg_dgree,2.9059219360351562,7.5983991622924805,7.880399703979492,88.28031921386719,6.2770586013793945,76.27494812011719,41.73678207397461,42.28340148925781,29.562753677368164,27.554677963256836,15.854633331298828,19.896629333496094,15.262921333312988,7.015525817871094,3.049180269241333,3.049180269241333,3.027322292327881,3.5856575965881348
edge_homophily,0.04689160871017706,0.3803761418592155,0.682782599868027,0.5945221579961464,0.8395662368112544,0.22213427576089093,0.2239430974833351,0.2071790288948466,0.21741379835052801,0.2299257275827994,0.23500734051688318,0.23605150214592274,0.24742343934040048,0.21673731197719345,0.06093189964157706,0.06093189964157706,0.12274368231046931,0.17777777777777778
node_homophily,0.0460478849709034,0.37570720911026,0.6829007863998413,0.6344469785690308,0.8979855179786682,0.21720895171165466,0.08891734480857849,0.1904737502336502,0.2272084355354309,0.24708591401576996,0.10394182056188583,0.24405887722969055,0.28463849425315857,0.21993499994277954,0.05666450038552284,0.05666450038552284,0.11095361411571503,0.15522414445877075
class_homophily,0.01966689531005275,0.1012842230306206,0.004682441106011542,0.09006515241437174,0.039489907083745085,0.024534356799302104,0.020677516864875095,0.03184115078737332,0.05501052939313187,0.03288434553062248,0.05053626922739626,0.03550169177311941,0.04897660016928158,0.005152357046541759,0.0,0.0,0.030601094166437783,0.0368573756883273
adjusted_homophily,"tensor(-0.0412, device='cuda:0')","tensor(0.1097, device='cuda:0')","tensor(0.0028, device='cuda:0')","tensor(-0.0643, device='cuda:0')","tensor(-0.1025, device='cuda:0')","tensor(0.0221, device='cuda:0')","tensor(0.0239, device='cuda:0')","tensor(-0.0261, device='cuda:0')","tensor(-0.0159, device='cuda:0')","tensor(0.0282, device='cuda:0')","tensor(0.0333, device='cuda:0')","tensor(0.0252, device='cuda:0')","tensor(0.0366, device='cuda:0')","tensor(0.0033, device='cuda:0')","tensor(-0.3128, device='cuda:0')","tensor(-0.3128, device='cuda:0')","tensor(-0.1643, device='cuda:0')","tensor(-0.1459, device='cuda:0')"
aggregation_homophily,0.99770540993734,0.8008737546954108,0.8052,0.7247831263820378,0.9305206353099896,0.6766006537204384,0.8169582772543742,0.7480881691408007,0.8340080971659919,0.8050065876152833,0.9007465963987703,0.8573033707865169,0.9089887640449438,0.8432894736842105,0.8415300546448088,0.8415300546448088,0.9289617486338798,0.8844621513944223
our_homophily,0.16629196945268818,0.32697738743958005,0.6916777022182942,0.6794261800318191,0.9504877710156954,0.20953778701375433,0.513800250476993,0.24825820455506104,0.291507672158196,0.2411368856330058,0.593908249335523,0.24890061524811755,0.32459132150652703,0.26352815502568294,0.41718264611163103,0.41718264611163103,0.35393166615337623,0.3678353068481878
our_class_homophily,0.045540359528625715,0.049439527094364166,0.1236526370048523,0.24082261323928833,-1,0.0,0.3589223697781563,0.04984906688332558,0.07649120315909386,0.033917129039764404,0.47449779883027077,0.043097250163555145,0.1302838996052742,0.05491548404097557,0.07663706690073013,0.07663706690073013,0.0632115975022316,0.046943649649620056
